,id,environment,round_instance,quality_check,start_time,end_time,latency
168,621729.0,low,22.0,1.0,1551895019527.0,1551895020195.0,673.0
169,621729.0,low,22.0,1.0,1551895020200.0,1551895020314.0,118.0
170,621729.0,low,22.0,1.0,1551895020318.0,1551895020467.0,153.0
171,621729.0,low,22.0,1.0,1551895020471.0,1551895020607.0,141.0
172,621729.0,low,22.0,1.0,1551895020612.0,1551895020754.0,147.0
173,621729.0,low,22.0,1.0,1551895020759.0,1551895020901.0,-491489.0
174,621734.0,high,11.0,1.0,1551894529270.0,1551894529877.0,609.0
175,621734.0,high,11.0,1.0,1551894529879.0,1551894530029.0,151.0
176,621734.0,high,11.0,1.0,1551894530030.0,1551894530165.0,137.0
177,621734.0,high,11.0,1.0,1551894530167.0,1551894530285.0,119.0
178,621734.0,high,11.0,1.0,1551894530286.0,1551894530437.0,153.0
179,621734.0,high,11.0,1.0,1551894530439.0,1551894530533.0,96.0
180,621734.0,high,11.0,1.0,1551894530535.0,1551894530630.0,96.0
181,621734.0,high,11.0,1.0,1551894530631.0,1551894530725.0,50855.0
182,621734.0,high,11.0,1.0,1551894581486.0,1551894582149.0,665.0
183,621734.0,high,11.0,1.0,1551894582151.0,1551894582301.0,152.0
184,621734.0,high,11.0,1.0,1551894582303.0,1551894582437.0,136.0
185,621734.0,high,11.0,1.0,1551894582439.0,1551894582605.0,167.0
186,621734.0,high,11.0,1.0,1551894582606.0,1551894582756.0,152.0
187,621734.0,high,11.0,1.0,1551894582758.0,1551894582909.0,153.0
188,621734.0,high,11.0,1.0,1551894582911.0,1551894583005.0,96.0
189,621734.0,high,11.0,1.0,1551894583007.0,1551894583085.0,50788.0
190,621734.0,high,11.0,1.0,1551894633795.0,1551894634396.0,603.0
191,621734.0,high,11.0,1.0,1551894634398.0,1551894634532.0,135.0
192,621734.0,high,11.0,1.0,1551894634533.0,1551894634644.0,112.0
193,621734.0,high,11.0,1.0,1551894634645.0,1551894634748.0,104.0
194,621734.0,high,11.0,1.0,1551894634749.0,1551894634844.0,97.0
195,621734.0,high,11.0,1.0,1551894634846.0,1551894634965.0,120.0
196,621734.0,high,11.0,1.0,1551894634966.0,1551894635076.0,98587.0
197,621734.0,high,21.0,1.0,1551894733553.0,1551894734228.0,678.0
198,621734.0,high,21.0,1.0,1551894734231.0,1551894734373.0,143.0
199,621734.0,high,21.0,1.0,1551894734374.0,1551894734501.0,129.0
200,621734.0,high,21.0,1.0,1551894734503.0,1551894734629.0,127.0
201,621734.0,high,21.0,1.0,1551894734630.0,1551894734749.0,120.0
202,621734.0,high,21.0,1.0,1551894734750.0,1551894734869.0,121.0
203,621734.0,high,21.0,1.0,1551894734871.0,1551894734973.0,103.0
204,621734.0,high,21.0,1.0,1551894734974.0,1551894735085.0,50929.0
205,621734.0,high,21.0,1.0,1551894785903.0,1551894786532.0,631.0
206,621734.0,high,21.0,1.0,1551894786534.0,1551894786661.0,129.0
207,621734.0,high,21.0,1.0,1551894786663.0,1551894786788.0,128.0
208,621734.0,high,21.0,1.0,1551894786791.0,1551894786916.0,128.0
209,621734.0,high,21.0,1.0,1551894786919.0,1551894787004.0,87.0
210,621734.0,high,21.0,1.0,1551894787006.0,1551894787092.0,88.0
211,621734.0,high,21.0,1.0,1551894787094.0,1551894787212.0,121.0
212,621734.0,high,21.0,1.0,1551894787215.0,1551894787332.0,38006.0
213,621734.0,high,21.0,1.0,1551894825221.0,1551894825898.0,679.0
214,621734.0,high,21.0,1.0,1551894825900.0,1551894825987.0,89.0
215,621734.0,high,21.0,1.0,1551894825989.0,1551894826138.0,152.0
216,621734.0,high,21.0,1.0,1551894826141.0,1551894826275.0,136.0
217,621734.0,high,21.0,1.0,1551894826277.0,1551894826419.0,144.0
218,621734.0,high,21.0,1.0,1551894826421.0,1551894826555.0,136.0
219,621734.0,high,21.0,1.0,1551894826557.0,1551894826699.0,144.0
220,621734.0,high,21.0,1.0,1551894826701.0,1551894826819.0,172784.0
221,621734.0,low,12.0,1.0,1551894999485.0,1551895000274.0,792.0
222,621734.0,low,12.0,1.0,1551895000277.0,1551895000361.0,86.0
223,621734.0,low,12.0,1.0,1551895000363.0,1551895000513.0,153.0
224,621734.0,low,12.0,1.0,1551895000516.0,1551895000657.0,144.0
225,621734.0,low,12.0,1.0,1551895000660.0,1551895000786.0,128.0
226,621734.0,low,12.0,1.0,1551895000788.0,1551895000921.0,136.0
227,621734.0,low,12.0,1.0,1551895000924.0,1551895001042.0,50696.0
228,621734.0,low,12.0,1.0,1551895051620.0,1551895052314.0,696.0
229,621734.0,low,12.0,1.0,1551895052316.0,1551895052498.0,184.0
230,621734.0,low,12.0,1.0,1551895052500.0,1551895052641.0,144.0
231,621734.0,low,12.0,1.0,1551895052644.0,1551895052794.0,152.0
232,621734.0,low,12.0,1.0,1551895052796.0,1551895052970.0,176.0
233,621734.0,low,12.0,1.0,1551895052972.0,1551895053106.0,136.0
234,621734.0,low,12.0,1.0,1551895053108.0,1551895053234.0,128.0
235,621734.0,low,12.0,1.0,1551895053236.0,1551895053378.0,50772.0
236,621734.0,low,12.0,1.0,1551895104008.0,1551895104690.0,684.0
237,621734.0,low,12.0,1.0,1551895104692.0,1551895104841.0,152.0
238,621734.0,low,12.0,1.0,1551895104844.0,1551895104993.0,152.0
