Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,reaction time,key pressed,price_displayed,order,environment,round instance,task,function id,rod fixing checked,builtin rt,end_time,start_time
2058,1.55E+12,19/02/2019 02:30:00,1.55E+12,8,19/02/2019 10:30:03,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,120,40,0.1,high-low,low,12,null,fishing_l,null,119.7170001,1550540000000.00,1550540000000.00
2059,1.55E+12,19/02/2019 02:30:00,1.55E+12,8,19/02/2019 10:30:03,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,120,40,0.1,high-low,low,12,null,fishing_l,null,119.7280001,1550540000000.00,1550540000000.00
2060,1.55E+12,19/02/2019 02:30:00,1.55E+12,8,19/02/2019 10:30:04,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,119,40,0.1,high-low,low,12,null,fishing_l,null,120.1300002,1550540000000.00,1550540000000.00
2061,1.55E+12,19/02/2019 02:30:01,1.55E+12,8,19/02/2019 10:30:04,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,120,40,0.1,high-low,low,12,null,fishing_l,null,119.7490001,1550540000000.00,1550540000000.00
2062,1.55E+12,19/02/2019 02:30:01,1.55E+12,8,19/02/2019 10:30:04,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,120,40,0.1,high-low,low,12,null,fishing_l,null,119.585,1550540000000.00,1550540000000.00
2063,1.55E+12,19/02/2019 02:30:01,1.55E+12,8,19/02/2019 10:30:04,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,120,40,0.1,high-low,low,12,null,fishing_l,null,119.6680001,1550540000000.00,1550540000000.00
2064,1.55E+12,19/02/2019 02:30:01,1.55E+12,8,19/02/2019 10:30:04,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,103,40,0.1,high-low,low,12,null,fishing_l,null,102.9950001,1550540000000.00,1550540000000.00
2065,1.55E+12,19/02/2019 02:30:01,1.55E+12,8,19/02/2019 10:30:05,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,120,40,0.1,high-low,low,12,null,fishing_l,null,119.529,1550540000000.00,1550540000000.00
2066,1.55E+12,19/02/2019 02:30:02,1.55E+12,8,19/02/2019 10:30:05,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,134,40,0.1,high-low,low,12,null,fishing_l,null,134.1570001,1550540000000.00,1550540000000.00
2067,1.55E+12,19/02/2019 02:30:02,1.55E+12,8,19/02/2019 10:30:05,6138,18,task-igty,,2188296,,594859,,complete,,,computer,Desktop or Laptop,Windows 7,WeChat 6.5.2.501,1280x720,1276x606,,High to Low,64,High to Low,105,40,0.1,high-low,low,12,null,fishing_l,null,104.6899999,1550540000000.00,1550540000000.00
