Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,reaction time,key pressed,price_displayed,order,environment,round instance,task,function id,rod fixing checked,builtin rt,end_time,start_time
30,1.55032E+12,16/02/2019 13:47:49,1.55032E+12,0,16/02/2019 13:47:46,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,79,40,0.3,high-low,high,11,fishing,fishing_h,,78.18499999,1550324866842.00,1550324866763.00
31,1.55032E+12,16/02/2019 13:47:49,1.55032E+12,0,16/02/2019 13:47:47,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,81,40,0.3,high-low,high,11,fishing,fishing_h,,80.8,1550324867025.00,1550324866944.00
32,1.55032E+12,16/02/2019 13:47:49,1.55032E+12,0,16/02/2019 13:47:47,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,77,40,0.3,high-low,high,11,fishing,fishing_h,,77.02999999,1550324867209.00,1550324867132.00
33,1.55032E+12,16/02/2019 13:47:49,1.55032E+12,0,16/02/2019 13:47:47,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,85,40,0.3,high-low,high,11,fishing,fishing_h,,84.33000001,1550324867402.00,1550324867317.00
34,1.55032E+12,16/02/2019 13:47:50,1.55032E+12,0,16/02/2019 13:47:47,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,77,40,0.3,high-low,high,11,fishing,fishing_h,,76.64000001,1550324867586.00,1550324867509.00
35,1.55032E+12,16/02/2019 13:47:50,1.55032E+12,0,16/02/2019 13:47:47,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,85,40,0.3,high-low,high,11,fishing,fishing_h,,84.90000002,1550324867779.00,1550324867694.00
36,1.55032E+12,16/02/2019 13:47:50,1.55032E+12,0,16/02/2019 13:47:48,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,90,40,0.3,high-low,high,11,fishing,fishing_h,,89.98000002,1550324867976.00,1550324867886.00
37,1.55032E+12,16/02/2019 13:47:50,1.55032E+12,0,16/02/2019 13:47:48,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,82,40,0.3,high-low,high,11,fishing,fishing_h,,81.485,1550324868162.00,1550324868080.00
38,1.55032E+12,16/02/2019 13:47:50,1.55032E+12,0,16/02/2019 13:47:48,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,90,40,0.3,high-low,high,11,fishing,fishing_h,,88.63499999,1550324868362.00,1550324868272.00
39,1.55032E+12,16/02/2019 13:47:51,1.55032E+12,0,16/02/2019 13:47:48,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,101,40,0.3,high-low,high,11,fishing,fishing_h,,99.35500001,1550324868570.00,1550324868469.00
40,1.55032E+12,16/02/2019 13:47:51,1.55032E+12,0,16/02/2019 13:47:48,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,133,40,0.3,high-low,high,11,fishing,fishing_h,,132.4,1550324868810.00,1550324868677.00
41,1.55032E+12,16/02/2019 13:47:51,1.55032E+12,0,16/02/2019 13:47:49,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,68,40,0.3,high-low,high,11,fishing,fishing_h,,67.34499999,1550324868980.00,1550324868912.00
42,1.55032E+12,16/02/2019 13:47:51,1.55032E+12,0,16/02/2019 13:47:49,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,138,40,0.3,high-low,high,11,fishing,fishing_h,,137.005,1550324869225.00,1550324869087.00
43,1.55032E+12,16/02/2019 13:47:52,1.55032E+12,0,16/02/2019 13:47:49,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,118,40,0.3,high-low,high,11,fishing,fishing_h,,116.355,1550324869450.00,1550324869332.00
44,1.55032E+12,16/02/2019 13:47:52,1.55032E+12,0,16/02/2019 13:47:49,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,142,40,0.3,high-low,high,11,fishing,fishing_h,,142.28,1550324869698.00,1550324869556.00
45,1.55032E+12,16/02/2019 13:47:52,1.55032E+12,0,16/02/2019 13:47:50,6138,15,task-igty,,2181016,,590938,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.109,1920x1080,1920x937,,High to Low,52,High to Low,152,40,0.3,high-low,high,11,fishing,fishing_h,,150.755,1550324869956.00,1550324869804.00
