Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,reaction time,key pressed,price_displayed,order,environment,round_instance,task,function id,rod fixing checked,builtin_rt,end_time,start_time
25,1551625618360,03/03/2019 15:06:58,1551625606799,0,03/03/2019 15:06:46,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,133,40,1.8,low-high,low,11,fishing,fishing_l,null,132.16499995905906,1551625606697,1551625606564
26,1551625637608,03/03/2019 15:07:17,1551625607035,0,03/03/2019 15:06:47,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,133,40,0.7,low-high,low,11,fishing,fishing_l,null,133.4900000365451,1551625606933,1551625606800
27,1551625637608,03/03/2019 15:07:17,1551625607291,0,03/03/2019 15:06:47,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,152,40,0.7,low-high,low,11,fishing,fishing_l,null,151.12000005319715,1551625607189,1551625607037
28,1551625618360,03/03/2019 15:06:58,1551625607544,0,03/03/2019 15:06:47,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,149,40,1.8,low-high,low,11,fishing,fishing_l,null,148.35999999195337,1551625607442,1551625607293
29,1551625618360,03/03/2019 15:06:58,1551625607805,0,03/03/2019 15:06:47,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,157,40,1.8,low-high,low,11,fishing,fishing_l,null,156.93499997723848,1551625607702,1551625607545
30,1551625618423,03/03/2019 15:06:58,1551625608049,0,03/03/2019 15:06:48,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,141,40,1.8,low-high,low,11,fishing,fishing_l,null,140.03500004764646,1551625607948,1551625607807
31,1551625618423,03/03/2019 15:06:58,1551625608304,0,03/03/2019 15:06:48,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,152,40,1.8,low-high,low,11,fishing,fishing_l,null,151.86999994330108,1551625608202,1551625608050
32,1551625618423,03/03/2019 15:06:58,1551625608551,0,03/03/2019 15:06:48,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,142,40,1.8,low-high,low,11,fishing,fishing_l,null,141.10500004608184,1551625608448,1551625608306
33,1551625618423,03/03/2019 15:06:58,1551625608795,0,03/03/2019 15:06:48,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,139,40,1.8,low-high,low,11,fishing,fishing_l,null,138.6400000192225,1551625608692,1551625608553
34,1551625618423,03/03/2019 15:06:58,1551625609033,0,03/03/2019 15:06:49,6138,27,task-5e3j,,2253541,,614535,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1200,1903x976,,Low to High with Rod Fixing,12,Low to High,134,40,1.8,low-high,low,11,fishing,fishing_l,null,133.86499998159707,1551625608931,1551625608797
